strain_id,generation,avg_profit
BT[-10.9660527309]DP[3.78548531404]ML[-0.203318874047],42,14.8795926876
BT[-7.85990595235]DP[3.78548531404]ML[-0.203318874047],40,14.8795926876
BT[-1.77424351616]DP[3.78548531404]ML[-0.203318874047],41,14.8795926876
BT[-14.3811770807]DP[3.78548531404]ML[-0.203318874047],43,14.8795926876
BT[-14.3811770807]DP[3.78548531404]ML[-0.203318874047],44,14.8795926876
BT[-14.3811770807]DP[3.78548531404]ML[-0.203318874047],44,14.8795926876
BT[-14.3811770807]DP[3.78548531404]ML[-0.203318874047],44,14.8795926876
BT[-14.3811770807]DP[3.78548531404]ML[-0.203318874047],44,14.8795926876
BT[-7.65452463717]DP[3.73501725707]ML[-0.203318874047],47,14.8795926876
BT[-4.58657297852]DP[3.73501725707]ML[-0.203318874047],49,14.8795926876
BT[-8.54334595708]DP[3.73501725707]ML[-0.203318874047],50,14.8795926876
BT[-1.41123774483]DP[3.73501725707]ML[-0.203318874047],51,14.8795926876
BT[-1.41123774483]DP[3.73501725707]ML[-0.203318874047],52,14.8795926876
BT[-1.41123774483]DP[3.73501725707]ML[-0.203318874047],52,14.8795926876
BT[-1.41123774483]DP[3.73501725707]ML[-0.203318874047],53,14.8795926876
BT[-1.41123774483]DP[3.73501725707]ML[-0.203318874047],53,14.8795926876
BT[-4.08131263708]DP[3.73501725707]ML[-0.203318874047],55,14.8795926876
BT[-10.2376753138]DP[3.73501725707]ML[-0.203318874047],55,14.8795926876
BT[-10.2376753138]DP[3.73501725707]ML[-0.203318874047],55,14.8795926876
BT[-2.8463077675]DP[3.73501725707]ML[-0.203318874047],56,14.8795926876
BT[-7.61621251514]DP[3.73501725707]ML[-0.203318874047],56,14.8795926876
BT[-7.61621251514]DP[3.73501725707]ML[-0.203318874047],56,14.8795926876
BT[-6.6895577722]DP[3.73501725707]ML[-0.203318874047],57,14.8795926876
BT[-7.43618697431]DP[3.73501725707]ML[-0.203318874047],58,14.8795926876
BT[-4.63052040521]DP[3.73501725707]ML[-0.203318874047],59,14.8795926876
BT[-4.63052040521]DP[3.73501725707]ML[-0.203318874047],59,14.8795926876
BT[-4.63052040521]DP[3.73501725707]ML[-0.203318874047],59,14.8795926876
BT[-4.63052040521]DP[3.73501725707]ML[-0.203318874047],59,14.8795926876
BT[-4.63052040521]DP[3.73501725707]ML[-0.203318874047],59,14.8795926876
BT[-1.2099850496]DP[3.82321968688]ML[-0.203318874047],63,14.9022442532
BT[-4.63052040521]DP[3.82321968688]ML[-0.203318874047],64,14.9022442532
BT[-1.2099850496]DP[3.82321968688]ML[-0.203318874047],65,14.9022442532
BT[-1.2099850496]DP[3.82321968688]ML[-0.203318874047],65,14.9022442532
BT[-1.2099850496]DP[3.82321968688]ML[-0.203318874047],65,14.9022442532
BT[-1.2099850496]DP[3.82321968688]ML[-0.203318874047],65,14.9022442532
BT[-1.2099850496]DP[3.82321968688]ML[-0.203318874047],66,14.9022442532
BT[-7.02718783083]DP[3.82321968688]ML[-0.203318874047],67,14.9022442532
BT[-10.0846710035]DP[3.82321968688]ML[-0.203318874047],68,14.9022442532
BT[-10.0846710035]DP[3.82321968688]ML[-0.203318874047],69,14.9022442532
BT[-11.5624342684]DP[3.82321968688]ML[-0.203318874047],69,14.9022442532
BT[-10.0846710035]DP[3.82321968688]ML[-0.203318874047],68,14.9022442532
BT[-11.5624342684]DP[3.82321968688]ML[-0.203318874047],69,14.9022442532
BT[-10.0846710035]DP[3.82321968688]ML[-0.203318874047],68,14.9022442532
BT[-10.0846710035]DP[3.82321968688]ML[-0.203318874047],68,14.9022442532
BT[-18.1568884234]DP[3.82321968688]ML[-0.203318874047],70,14.9022442532
BT[-14.6866654519]DP[3.82321968688]ML[-0.203318874047],70,14.9022442532
BT[-13.9185006819]DP[3.82321968688]ML[-0.203318874047],72,14.9022442532
BT[-31.304915062]DP[3.82321968688]ML[-0.203318874047],73,14.9022442532
BT[-25.2209899551]DP[3.82321968688]ML[-0.203318874047],74,14.9022442532
BT[-29.6205289145]DP[3.82321968688]ML[-0.203318874047],75,14.9022442532
BT[-33.8108323725]DP[3.82321968688]ML[-0.203318874047],75,14.9022442532
BT[-29.6205289145]DP[3.82321968688]ML[-0.203318874047],76,14.9022442532
BT[-33.8108323725]DP[3.82321968688]ML[-0.203318874047],76,14.9022442532
BT[-29.6205289145]DP[3.82321968688]ML[-0.203318874047],77,14.9022442532
BT[-30.9136746572]DP[3.82321968688]ML[-0.203318874047],78,14.9022442532
BT[-26.9646479937]DP[3.82321968688]ML[-0.203318874047],78,14.9022442532
BT[-18.343729382]DP[3.82321968688]ML[-0.203318874047],79,14.9022442532
BT[-25.1416551218]DP[3.82321968688]ML[-0.203318874047],80,14.9022442532
BT[-32.3296631905]DP[3.82321968688]ML[-0.203318874047],81,14.9022442532
BT[-33.4265776449]DP[3.82321968688]ML[-0.203318874047],82,14.9022442532
BT[-34.5441387074]DP[3.82321968688]ML[-0.203318874047],83,14.9022442532
BT[-39.4546051589]DP[3.82321968688]ML[-0.203318874047],82,14.9022442532
BT[-25.9530303911]DP[3.82321968688]ML[-0.203318874047],84,14.9022442532
BT[-16.7561623688]DP[3.82321968688]ML[-0.203318874047],86,14.9022442532
BT[-25.9530303911]DP[3.82321968688]ML[-0.203318874047],86,14.9022442532
BT[-32.420885534]DP[3.82321968688]ML[-0.203318874047],86,14.9022442532
BT[-32.420885534]DP[3.82321968688]ML[-0.203318874047],86,14.9022442532
BT[-32.420885534]DP[3.82321968688]ML[-0.203318874047],86,14.9022442532
BT[-32.420885534]DP[3.82321968688]ML[-0.203318874047],86,14.9022442532
BT[-33.1404411207]DP[3.82321968688]ML[-0.203318874047],87,14.9022442532
BT[-24.0665970218]DP[3.82321968688]ML[-0.203318874047],88,14.9022442532
BT[-29.8348682576]DP[3.82321968688]ML[-0.203318874047],88,14.9022442532
BT[-24.0665970218]DP[3.82321968688]ML[-0.203318874047],89,14.9022442532
BT[-24.0665970218]DP[3.82321968688]ML[-0.203318874047],89,14.9022442532
BT[-20.5736310046]DP[3.82321968688]ML[-0.203318874047],91,14.9022442532
BT[-20.5736310046]DP[3.82321968688]ML[-0.203318874047],91,14.9022442532
BT[-20.5736310046]DP[3.82321968688]ML[-0.203318874047],91,14.9022442532
BT[-17.7661066515]DP[3.82321968688]ML[-0.203318874047],94,14.9022442532
BT[-20.5736310046]DP[3.82321968688]ML[-0.203318874047],92,14.9022442532
BT[-29.085003946]DP[3.82321968688]ML[-0.203318874047],94,14.9022442532
BT[-16.3485032785]DP[3.82321968688]ML[-0.203318874047],93,14.9022442532
BT[-15.8838989837]DP[3.82321968688]ML[-0.203318874047],94,14.9022442532
BT[-13.5560395538]DP[3.82321968688]ML[-0.203318874047],94,14.9022442532
BT[-15.8838989837]DP[3.82321968688]ML[-0.203318874047],94,14.9022442532
BT[-17.4791170309]DP[3.82321968688]ML[-0.203318874047],95,14.9022442532
BT[-10.4364498684]DP[3.82321968688]ML[-0.203318874047],97,14.9022442532
BT[-10.4364498684]DP[3.82321968688]ML[-0.203318874047],98,14.9022442532
BT[-26.7147925892]DP[3.82321968688]ML[-0.203318874047],96,14.9022442532
BT[-26.7147925892]DP[3.82321968688]ML[-0.203318874047],97,14.9022442532
BT[-26.7147925892]DP[3.82321968688]ML[-0.203318874047],97,14.9022442532
BT[-27.3411057352]DP[3.82321968688]ML[-0.203318874047],98,14.9022442532
BT[-20.2334786124]DP[3.82321968688]ML[-0.203318874047],99,14.9022442532
BT[-18.2403853065]DP[3.82321968688]ML[-0.203318874047],99,14.9022442532
BT[-20.2334786124]DP[3.82321968688]ML[-0.203318874047],99,14.9022442532
BT[-18.2403853065]DP[3.82321968688]ML[-0.203318874047],99,14.9022442532
BT[-20.2334786124]DP[3.82321968688]ML[-0.203318874047],100,14.9022442532
BT[-18.2403853065]DP[3.82321968688]ML[-0.203318874047],101,14.9022442532
BT[-18.2403853065]DP[3.82321968688]ML[-0.203318874047],100,14.9022442532
